id,datetime,text,status,category,topic,thread_text
19,2025-10-31 08:05,"私「すぐ重くなっちゃう…」
友人「それ、依存してるだけだよ」

【依存してる人の特徴】
・連絡ないと不安
・予定を全て彼優先
・趣味がなくなる
・彼の全てを知りたい

私「全部当てはまる…」

で、改善した↓
・自分の時間を作る
・友達との時間を大事に
・連絡頻度を減らす

結果：関係が良くなった。

自立してる女性の方がモテる。",pending,恋愛,,
20,2025-10-31 08:15,"私「貯金あるのに不安消えない」
友人「それ、金額の問題じゃないよ」

【不安の原因】
・将来のビジョンがない
・何にいくら必要か知らない
・収入源が1つしかない

やったこと↓
・老後資金を逆算
・副業を始める
・投資を学ぶ
・固定費を下げる

結果：不安が減った。

漠然とした不安は明確にすると消える。",pending,お金,,
21,2025-10-31 08:25,"タロットカード買ってみた。

占いじゃなくて
「潜在意識との対話ツール」として使える。

【使い方】
1. 質問を明確にする（「転職すべき？」）
2. カードをシャッフル
3. 1枚引く
4. カードの意味を調べる
5. 自分に当てはめて考える

質問：「転職すべき？」
カード：「隠者」
→「今すぐじゃなく、準備期間」

って納得した。

占い師に見てもらうより
自分で引いた方が心と向き合える。",pending,占い,,
22,2025-10-31 08:35,"クレカ、何枚も持ってたけど
1枚に集約したら超楽になった。

【複数持ちのデメリット】
・ポイント分散
・年会費かかる
・使いすぎる
・明細チェックが面倒

【1枚集約のメリット】
・ポイント貯まる（月1,500円分）
・管理が楽
・使いすぎ防止

【手順】
1. メインカード決める
2. 他のカード解約
3. 支払い先を変更

年間27.6万円の差。

「管理面倒」じゃなくて「複数持ちすぎ」なだけ。",pending,お金,,
23,2025-10-31 08:45,"私「仕事、辞めたい…」
友人「それ、一旦休職したら？」

【休職のメリット】
・仕事から離れられる
・給料の6割もらえる（傷病手当金）
・辞めずに済む
・復帰or退職を選べる

【流れ】
1. 心療内科で診断書
2. 会社に相談
3. 傷病手当金申請

私は休職中に転職先決まった。
退職せずに次が決まって良かった。

「辞めたい」と思ったらまず休職検討して。
選択肢があると知るだけで楽になる。",pending,仕事,,
24,2025-10-31 08:55,"私「なんで私ばっかり損してるんだろう」
友人「自分で損してるだけだよ」

【都合のいい人の特徴】
・頼まれたら断れない
・嫌われたくない
・自分を犠牲にする

【抜け出す方法】
・小さなNOから始める
・理由を言わない（「無理です」だけでOK）
・即答しない
・自分の時間を最優先

最初：罪悪感すごい
1ヶ月後：断るのが普通になった

結果：時間に余裕、ストレス減った。

本当の友達なら嫌わない。",pending,メンタル,,
25,2025-10-31 12:05,"私「30歳までに結婚したいのに彼氏もいない」
友人「焦りすぎじゃない？」

【焦る原因】
・周りと比較
・親からのプレッシャー
・SNSで幸せそうな投稿見る

【焦りを手放す方法】
・比較をやめる
・SNS見る時間減らす
・今を楽しむ
・結婚=幸せじゃない

考え方変えたら焦りが消えた。
そしたら、良い出会いがあった。

結婚はゴールじゃない。",pending,恋愛,,
26,2025-10-31 08:05,"私「多分脈なし…」
友人「それって本当に脈なし？」

【実は脈ありの可能性】
・返信は遅いけど必ず返してくる
・そっけないけどたまに優しい
・誘えば来る
・SNSの投稿に反応してくる

友人「脈なしなら完全無視するよ」

私「言われてみれば当てはまる…」

で、もう一度アプローチしてみた↓
・具体的な日時で誘う
・カフェなど軽めの場所

結果：OKもらえた。

返信してくる=脈あり。
諦める前にもう1回。",pending,恋愛,,
27,2025-10-31 08:17,"会議で緊張する人チェック
✅ 発言するとき声震える
✅ 変なこと言わないか不安
✅ 頭真っ白になる

克服した方法↓
・メモ用意（箇条書き3つ）
・結論から話す
・60点でOK
・小さい会議で練習

3ヶ月で普通に発言できるようになった。

「緊張する」じゃなくて「慣れてないだけ」。",pending,仕事,,
28,2025-10-31 08:28,"「デート代、いつも彼が全額払うべき？」

結論：NO

【NGパターン】
・毎回全額男性→負担大
・完全割り勘→味気ない

【おすすめ】
・食事→彼、カフェ→私
・7:3で男性多め
・交互に出す

彼「無理して全額出さなくていいから楽」
私「対等な関係になった」

半年続いてる。
対等な関係が一番長続きする。",pending,恋愛,,
29,2025-10-31 08:39,"コンビニやめたら年間18.6万円浮いた。

【Before】
コンビニ代：月19,500円
貯金：0円

【After】
コンビニ代：月4,000円
貯金：46,500円（3ヶ月）

【やったこと】
・1ヶ月記録してみた
・コーヒーは家で淹れる（月4,000円浮く）
・お菓子はスーパーで（半額以下）
・コンビニ経路を避ける

「お金ない」じゃなくて
「コンビニ使いすぎ」だっただけ。",pending,お金,,
30,2025-10-31 08:48,"朝起きれない人の共通点

寝る前にこれやってた↓
・スマホ見る
・夜遅く食べる
・休日寝だめ

やめて変えた↓
・22時以降スマホ見ない
・寝る2時間前に入浴
・毎日同じ時間に寝起き
・朝日を浴びる

1ヶ月でスッキリ起きれるようになった。

「朝が辛い」じゃなくて
「夜の過ごし方が悪かった」だけ。",pending,メンタル,,
