id,datetime,text,thread_text,status,category,subcategory,hashtags
1,2025-11-02 08:00,"トー横の「トー」ってなんのこと？
2,2025-11-02 08:30,"小泉構文で一番好きなのは
3,2025-11-02 09:00,"初めてやったポケモン、ルビー・サファイアだった
4,2025-11-02 09:30,"XYが発売されたのついこの前だと思ってたら
5,2025-11-02 10:00,"「ググる」って今も使う？
6,2025-11-02 10:30,"mixiで足あと機能あったの覚えてる？
7,2025-11-02 11:00,"ニコニコ動画の「(ryとか懐かしすぎる
8,2025-11-02 11:30,"「けいおん！」観てバンド始めた人いる？
9,2025-11-02 12:00,"ファミマの「ファミチキ」って
10,2025-11-02 12:30,"ガラケーの絵文字、めっちゃ打ってた
11,2025-11-02 13:00,"Facebookで「いいね！」押すのが義務だった時代
12,2025-11-02 13:30,"モンハンP2Gやり込んでた人いる？
13,2025-11-02 14:00,"「ハルヒ」観て文化祭でライブやった学校あった？
14,2025-11-02 14:30,"渋谷109で買い物してた人いる？
15,2025-11-02 15:00,"初代iPod持ってた？
16,2025-11-02 15:30,"「まとめサイト」見まくってた時代
17,2025-11-02 16:00,"学校の休み時間に「前略プロフ」更新してた
18,2025-11-02 16:30,"ドラクエ9すれ違い通信やってた人いる？
19,2025-11-02 17:00,"「電車男」流行ってたよね
20,2025-11-02 17:30,"Twitterで「RT稼ぎ」してた黒歴史
21,2025-11-02 18:00,"友達の家でWii Sportsやってた記憶
22,2025-11-02 18:30,"「リア充爆発しろ」って言葉
23,2025-11-02 19:00,"初めてYouTube見た動画覚えてる？
24,2025-11-02 19:30,"ブログ全盛期にアメブロやってた人いる？
25,2025-11-02 20:00,"「萌え」って言葉、今も使う？
26,2025-11-02 20:30,"ガラケーの着うた、めっちゃダウンロードしてた
27,2025-11-02 21:00,"ニコニコ動画でボカロ聴いてた？
28,2025-11-02 21:30,"FF7のリメイク、まさか分割になるとは
29,2025-11-02 22:00,"深夜アニメ録画してた人いる？
30,2025-11-02 22:30,"「DQN」って言葉、死語？
31,2025-11-02 23:00,"ガラケーのカメラ、画素数めっちゃ気にしてた
32,2025-11-02 23:30,"Amazonプライムがない時代
101,2025-11-03 08:00,"「ウッーウッーウマウマ(ﾟ∀ﾟ)」覚えてる？
102,2025-11-03 08:30,"「wwwww」って打ち込んでた時代
103,2025-11-03 09:00,"「全米が泣いた」って煽り文句
104,2025-11-03 09:30,"ニコ動の「踊ってみた」見てた人いる？
105,2025-11-03 10:00,"「アサヒる」って流行語覚えてる？
106,2025-11-03 10:30,"「〜だお」「〜なのです」
107,2025-11-03 11:00,"「狂おしいほど好き」って表現
108,2025-11-03 11:30,"YouTube板でFLASH見てた人いる？
109,2025-11-03 12:00,"「テラワロスwww」とか言ってた？
110,2025-11-03 12:30,"「お前ら」って二人称
111,2025-11-03 13:00,"ニコニコの「(・∀・)」とか「(´・ω・`)」
112,2025-11-03 13:30,"「ゲシュタルト崩壊」って言葉
113,2025-11-03 14:00,"「ようつべ」「つべ」
114,2025-11-03 14:30,"「やる夫スレ」読んでた人いる？
115,2025-11-03 15:00,"「マモノ」って2ch用語覚えてる？
116,2025-11-03 15:30,"「誰得」って言葉、死語？
117,2025-11-03 16:00,"「うp主」「up主」
118,2025-11-03 16:30,"「ktkr」って何の略か覚えてる？
119,2025-11-03 17:00,"Flash黄金時代覚えてる？
120,2025-11-03 17:30,"「やらないか」のAAコピペしてた？
121,2025-11-03 18:00,"「マジキチ」って言葉使ってた？
122,2025-11-03 18:30,"2chの「オカ板」見てた人いる？
123,2025-11-03 19:00,"「メシウマ状態」って言葉覚えてる？
124,2025-11-03 19:30,"ニコ動の「歌ってみた」聞いてた？
125,2025-11-03 20:00,"「ggrks」って略語使ってた？
126,2025-11-03 20:30,"VIPPERだった人、正直に
127,2025-11-03 21:00,"「クソワロタwww」とか言ってた？
128,2025-11-03 21:30,"「ゆっくりしていってね!!!」
129,2025-11-03 22:00,"「うはwwwおkwww」
130,2025-11-03 22:30,"2chのコピペブログ見まくってた
131,2025-11-03 23:00,"「〜なんだが」で始まるスレタイ
132,2025-11-03 23:30,"結局、昔のネット文化の方が
